date,commit_sha,tag,milestone_name,affected_subsystem,concise_description,evidence_paths,confidence_level
2026-07-14,7f969317c4b597b9adaae629c05cf6723785aff2,,Portable non-sensitive Codex layer,policy and discovery,"Created a fail-closed symlink installer, global working agreements, command rules, and six reusable skills while explicitly excluding live client state and credentials.","README.md;install.sh;AGENTS.md;skills/",high
2026-07-14,805db485d9b591f399e9025b28dc8397b27286b3,,One harness for Codex and Claude,cross-client discovery,"Reorganized client-specific guidance around a shared skill directory and added Claude discovery, establishing a dual-client rather than Codex-only harness.","README.md;install.sh;claude/CLAUDE.md;shared/skills/",high
2026-07-14,fb417282588f446f580e2f1de7b4c9b3341c18c5,,Value-free fleet observation,inventory plan doctor and profiles,"Added dependency-free inventory, profile comparison, doctor checks, captured fixtures, and the first phase-one suite for seven logical environments.","bin/harness;libexec/harness-inventory;libexec/harness-plan;libexec/harness-doctor;profiles/hosts/;tests/test-phase1.sh",high
2026-07-14,07351a40f40d3609d3924c3e440a30523e72fa04,,Transactional control-plane pivot,apply and rollback,"Converted reviewed plans into bounded apply transactions with collision refusal, manifests, partial-failure rollback, and explicit rollback commands.","libexec/harness-apply;libexec/harness-rollback;README.md;tests/test-phase1.sh",high
2026-07-14,42e9a119f16f43faed318341abcc78252a5866df,,Suffix-verified shell changes,shell startup,"Added append-only shell transactions that preserve prior bytes and roll back only unchanged managed suffixes.","libexec/harness-shell;libexec/harness-rollback;shell/;tests/test-phase1.sh",high
2026-07-14,37ff256a75418a7d5e2c2ddbddc1c41a1fed1251,,Checksum-pinned portable tools,artifact transactions,"Added one-tool transactions with checksummed archives, version checks, stable links, and rollback integrity checks.","libexec/harness-tool;tools/artifacts.tsv;README.md;tests/test-phase1.sh",high
2026-07-15,e5200fd3ae3aa5b6b326205b6475af2047d21929,,Accidental account-home deletion and recovery,recovery incident,"Recorded an agent-launched rm -rf against the real account home after a temporary-HOME assignment expired; containment, partial restoration, unrecoverable state, and paused fleet work were made explicit.","historical TODO.md at e5200fd;historical TODO.md at d726f0d;presentation/evidence/incident-rm-rf.md",high
2026-07-15,238f0224e6f5ac51ffcb1b47ba5308c97377df3e,,Autonomous bounded deletion,safety,"Introduced a manifest-and-token workflow that rejects protected roots and revalidates exact recursive-deletion targets before and after removal.","shared/skills/guarded-bulk-delete/SKILL.md;shared/skills/guarded-bulk-delete/scripts/guarded-delete;tests/test-guarded-delete.sh",high
2026-07-15,4f34299ac2b0202a92be9e4978b6e5d5630b7ce5,,Encrypted hidden-home recovery,backup and restore,"Added the seven-node Restic topology and manual backup, full-data check, restore, and independent encrypted-generation gates.","docs/home-backup.md;profiles/restic-repositories.tsv;libexec/harness-restic",high
2026-07-16,852b84bb753bf590a55353f96de71fba3b7b77d5,,Scheduler-native weekly backup chain,backup scheduling,"Added exactly-one-successor native scheduler chains without login cron, retention deletion, or central polling.","libexec/harness-restic-schedule;profiles/restic-schedules.tsv;docs/home-backup.md;tests/test-restic-schedule.sh",high
