measure	status	evidence
accepted_primary_outputs	pass	complete-R3-aa8528c
wait_interval_commits	pass	one-durable-wait-replay
duplicate_archive_reads	pass	zero-target-read-empty-replay
unchanged-runtime-revalidation	pass	freshness-event-cache
always_read_bytes	pending	terminal-board-closeout
selector_routed_bytes	pass	start-output-cap-1024
card_packet_bytes	pass	strict-4096-byte-parser
admitted_cards	pass	12-local-60-portfolio-cap
open_catalog_cards	pass	13th-card-rejected
selector_latency_60_cards	pass	20-runs-p95-1.774-ms
normative_scenarios	pass	29-of-29
private_value_exposure	pass	public-audit-value-exposed-false
writer_boundary_violations	pass	consumer-diff-pass
prompt_replays_after_wake	pass	one-shot-wake-and-recover-state
pilot_extra_protected_transitions	pending	consumer-and-producer-publication
rollout_preparation_transitions	pass	no-production-route
billable_hosted_minutes_increase	pending	hosted-check-readback
final_integrated_validation	pending	terminal-tree-R3
coverage_false_positives	pass	short-plan-and-stale-target
wait_with_fit_card	pass	work-conserving-selection
target_replays_after_unreceipted_selection	pass	recover-without-packet
lower_tail_false_coverage	pass	unknown-and-20-receipt-gates
eligible_cards_omitted_before_cap	pass	12-of-12-admitted
cross_repository_card_metadata_exposure	pass	ready-idle-block-only
unrelated_discovery_reads	pass	delta-scope-rejection
event_journal_rewrites	pass	append-history-rejection
