measure	matched_baseline	pilot_acceptance	evidence
accepted_primary_outputs	Har-381-acceptance-pass	no-regression	primary-receipt-and-final-validation
wait_interval_commits	3-chronology-only	at-most-1-wait-checkpoint	c508483-to-6870218-replay
duplicate_archive_reads	3-at-05:00	0-before-freshness-expiry	command-receipts
unchanged-runtime-revalidation	none-after-final-R3	0-before-changed-input	validation-receipts
always_read_bytes	current-baseline	exactly-unchanged	context-shape
selector_routed_bytes	not-available	at-most-1024-before-selected-card	selector-receipt
card_packet_bytes	4096-task-packet-limit	at-most-4096	strict-metadata-validator
admitted_cards	not-available	at-most-32-per-run	run-manifest-validator
open_catalog_cards	not-available	at-most-12-per-repository	catalog-validator
selector_latency_60_cards	not-available	p95-at-most-100ms	matched-20-run-sample
normative_scenarios	0	19-of-19-pass	productive-idle-scenarios.tsv
private_value_exposure	0	0	public-audit-and-canary-tests
writer_boundary_violations	0	0	producer-consumer-diff-tests
prompt_replays_after_wake	0	0	wake-revision-tests
pilot_extra_protected_transitions	0	0	publication-receipt
rollout_preparation_transitions	not-available	0	admission-and-publication-receipts
billable_hosted_minutes_increase	0	0	workflow-run-readback
final_integrated_validation	R3-pass	R3-pass	harness-validate-receipt
