order	target_jst	writer_surface	action	validation	external_transition	status
1	07:40	consumer	freeze-preterminal-runtime-and-evidence	full-R3-phase-one	none	pending
2	08:00	consumer	add-terminal-receipt-retire-board-finalize-index-record	R0-plus-plain-ledger-plus-consumer-diff	none	pending
3	08:05	consumer	commit-and-explicit-refspec-push	exact-head-and-fast-forward-preflight	branch-update	pending
4	08:10	consumer	create-owner-PR-read-checks-and-squash-merge	trusted-owner-skip-plus-conflict-free-readback	protected-main-merge	pending
5	08:18	canonical	exact-fetch-refspec-fast-forward-main-and-verify	plain-ledger-pending-one-reconciliation	local-main-update	pending
6	08:22	canonical	archive-and-guard-remove-merged-Har-381-worktree	housekeeping-plan-archive-apply-audit	local-cleanup	pending
7	08:28	producer	open-isolated-worktree-close-Har-381-publish-Har-382-and-Har-383-advance-next-ID	strict-ledger-plus-producer-diff-plus-R0	local-worktree-open	pending
8	08:38	producer	commit-push-create-owner-PR-read-checks-and-squash-merge	exact-refspec-trusted-owner-skip-conflict-free	protected-main-merge	pending
9	08:45	canonical	archive-and-guard-remove-merged-producer-worktree	housekeeping-plan-archive-apply-audit	local-cleanup	pending
10	08:50	canonical	final-portfolio-archive-ruleset-monitor-and-residue-readback	strict-ledger-plus-public-audit	read-only	pending
